8054016.484,coarse_grained,1,100
3623903.097,coarse_grained,4,100
3230431.852,coarse_grained,6,100
2931877.184,coarse_grained,8,100
3046609.281,coarse_grained,10,100
3055266.833,coarse_grained,12,100
410588.9111,coarse_grained,1,1000
291744.8827,coarse_grained,4,1000
294316.026,coarse_grained,6,1000
297893.1603,coarse_grained,8,1000
285813.3733,coarse_grained,10,1000
279632.9177,coarse_grained,12,1000
36562.93706,coarse_grained,1,10000
29688.31169,coarse_grained,4,10000
29405.39191,coarse_grained,6,10000
29508.73689,coarse_grained,8,10000
29610.58412,coarse_grained,10,10000
29530.67331,coarse_grained,12,10000
1847090.41,hands_over_hands,1,100
178292.7073,hands_over_hands,4,100
193275.5866,hands_over_hands,6,100
184578.1328,hands_over_hands,8,100
177712.0758,hands_over_hands,10,100
172213.5729,hands_over_hands,12,100
186870.1299,hands_over_hands,1,1000
60387.11289,hands_over_hands,4,1000
88167.24913,hands_over_hands,6,1000
109306.5402,hands_over_hands,8,1000
118078.8423,hands_over_hands,10,1000
110724.1895,hands_over_hands,12,1000
14503.74813,hands_over_hands,1,10000
5975.536695,hands_over_hands,4,10000
8157.684631,hands_over_hands,6,10000
10805.79131,hands_over_hands,8,10000
12215.9601,hands_over_hands,10,10000
13452.86783,hands_over_hands,12,10000
8651215.784,lazy_linked_list,1,100
1.19E+07,lazy_linked_list,4,100
1.15E+07,lazy_linked_list,6,100
1.51E+07,lazy_linked_list,8,100
1.48E+07,lazy_linked_list,10,100
1.53E+07,lazy_linked_list,12,100
392327.3363,lazy_linked_list,1,1000
1275364.453,lazy_linked_list,4,1000
1406301.548,lazy_linked_list,6,1000
1754970.045,lazy_linked_list,8,1000
2879310.723,lazy_linked_list,10,1000
2435941.147,lazy_linked_list,12,1000
22022.97702,lazy_linked_list,1,10000
89286.57014,lazy_linked_list,4,10000
130903.1936,lazy_linked_list,6,10000
168314.3713,lazy_linked_list,8,10000
209325.187,lazy_linked_list,10,10000
239308.1135,lazy_linked_list,12,10000
