418111.4443,coarse_grained,1
298120.3796,coarse_grained,4
292694.3057,coarse_grained,6
291063.4049,coarse_grained,8
290229.6555,coarse_grained,10
282792.4152,coarse_grained,12
192396.6034,hands_over_hands,1
60208.18772,hands_over_hands,4
86774.72527,hands_over_hands,6
106973.5397,hands_over_hands,8
106409.6806,hands_over_hands,10
112768.4631,hands_over_hands,12
390857.1429,lazy_linked_list,1
1310727.273,lazy_linked_list,4
1522096.355,lazy_linked_list,6
1652187.126,lazy_linked_list,8
1849427.431,lazy_linked_list,10
1905368.893,lazy_linked_list,12
